,property_type,society,sector,price,persf_area,area,areaWithType,bedroom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
0,flat,maa bhagwati residency,sector 7,0.45,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),2.0,2.0,1,4.0,West,Relatively New,,,900.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,450.0
1,flat,apna enclave,sector 3,0.5,7692.0,650.03,Carpet area: 650 (60.39 sq.m.),2.0,2.0,1,1.0,West,Old Property,,,650.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,325.015
2,flat,tulsiani easy in homes,sohna road,0.4,6722.0,595.06,Carpet area: 595 (55.28 sq.m.),2.0,2.0,3,12.0,,New Property,,,595.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,297.53
3,flat,smart world orchard,sector 61,1.47,12250.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2.0,2.0,2,2.0,,Under Construction,,,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,600.0
4,flat,parkwood westend,sector 92,0.7,5204.0,1345.12,Super Built up area 1345(124.95 sq.m.),2.0,2.0,3,5.0,,Under Construction,1345.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,672.56
5,flat,signature global infinity mall,sector 36,0.41,6269.0,654.01,Built Up area: 654 (60.76 sq.m.),2.0,2.0,3,3.0,,Undefined,,654.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.005
6,flat,the cocoon,dwarka expressway,2.0,13333.0,1500.04,Super Built up area 1500(139.35 sq.m.),3.0,3.0,3,5.0,,New Property,1500.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0133333333333
7,flat,ats triumph,sector 104,1.8,7860.0,2290.08,Carpet area: 2290 (212.75 sq.m.),3.0,4.0,3,14.0,,New Property,,,2290.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,763.36
8,flat,vatika xpressions,sector 88b,1.1,8148.0,1350.02,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2.0,4.0,3+,2.0,North-East,Under Construction,,1350.0,1050.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,675.01
9,flat,raheja revanta,sector 78,4.75,16885.0,2813.15,Built Up area: 2813 (261.34 sq.m.),3.0,3.0,2,31.0,,Under Construction,,2813.0,,0.0,1.0,0.0,0.0,0.0,0.0,100.0,937.7166666666667
10,flat,signature global city 81,sector 81,0.96,9767.0,982.9,Carpet area: 1075 (99.87 sq.m.),2.0,2.0,2,1.0,,Under Construction,,,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,491.45
11,flat,hcbs sports ville,sohna road,0.29,5587.0,519.06,Carpet area: 519 (48.22 sq.m.),2.0,2.0,1,4.0,,Relatively New,,,519.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,259.53
